ID:001 | Usuario:juan | Accion:LOGIN | Estado:OK | IP:192.168.0.10
ID:002 | Usuario:maria | Accion:LOGIN | Estado:FAIL | IP:192.168.0.11
ID:003 | Usuario:admin | Accion:LOGIN | Estado:OK | IP:10.0.0.1
ID:004 | Usuario:juan | Accion:UPLOAD | Estado:OK | IP:192.168.0.10
ID:005 | Usuario:pedro | Accion:LOGIN | Estado:FAIL | IP:172.16.0.5
ID:006 | Usuario:maria | Accion:LOGIN | Estado:FAIL | IP:192.168.0.11
ID:007 | Usuario:admin | Accion:DELETE | Estado:OK | IP:10.0.0.1
ID:008 | Usuario:juan | Accion:LOGIN | Estado:OK | IP:192.168.0.10
ID:009 | Usuario:pedro | Accion:UPLOAD | Estado:OK | IP:172.16.0.5
ID:010 | Usuario:maria | Accion:LOGIN | Estado:OK | IP:192.168.0.11
ID:011 | Usuario:juan | Accion:DELETE | Estado:FAIL | IP:192.168.0.10
ID:012 | Usuario:admin | Accion:LOGIN | Estado:OK | IP:10.0.0.1
ID:013 | Usuario:pedro | Accion:LOGIN | Estado:FAIL | IP:172.16.0.5
ID:014 | Usuario:maria | Accion:UPLOAD | Estado:OK | IP:192.168.0.11
ID:015 | Usuario:juan | Accion:LOGIN | Estado:OK | IP:192.168.0.10
